Type,Year,Amount,BalTotal,BalGoods,BalServ,ExTotal,ExGoods,ExServ,ImTotal,ImGoods,ImServ
Ex,1960,25940,3508,4892,-1384,25940,19650,6290,22432,14758,7674
Ex,1961,26403,4195,5571,-1376,26403,20108,6295,22208,14537,7671
Ex,1962,27722,3370,4521,-1151,27722,20781,6941,24352,16260,8092
Ex,1963,29620,4210,5224,-1014,29620,22272,7348,25410,17048,8362
Ex,1964,33341,6022,6801,-779,33341,25501,7840,27319,18700,8619
Ex,1965,35285,4664,4951,-287,35285,26461,8824,30621,21510,9111
Ex,1966,38926,2939,3817,-878,38926,29310,9616,35987,25493,10494
Ex,1967,41333,2604,3800,-1196,41333,30666,10667,38729,26866,11863
Ex,1968,45543,250,635,-385,45543,33626,11917,45293,32991,12302
Ex,1969,49220,91,607,-516,49220,36414,12806,49129,35807,13322
Ex,1970,56640,2254,2603,-349,56640,42469,14171,54386,39866,14520
Ex,1971,59677,-1302,-2260,958,59677,43319,16358,60979,45579,15400
Ex,1972,67222,-5443,-6416,973,67222,49381,17841,72665,55797,16868
Ex,1973,91242,1900,911,989,91242,71410,19832,89342,70499,18843
Ex,1974,120897,-4293,-5505,1212,120897,98306,22591,125190,103811,21379
Ex,1975,132585,12404,8903,3501,132585,107088,25497,120181,98185,21996
Ex,1976,142716,-6082,-9483,3401,142716,114745,27971,148798,124228,24570
Ex,1977,152301,-27246,-31091,3845,152301,120816,31485,179547,151907,27640
Ex,1978,178428,-29763,-33927,4164,178428,142075,36353,208191,176002,32189
Ex,1979,224131,-24565,-27568,3003,224131,184439,39692,248696,212007,36689
Ex,1980,271834,-19407,-25500,6093,271834,224250,47584,291241,249750,41491
Ex,1981,294398,-16172,-28023,11851,294398,237044,57354,310570,265067,45503
Ex,1982,275236,-24156,-36485,12329,275236,211157,64079,299391,247642,51749
Ex,1983,266106,-57767,-67102,9335,266106,201799,64307,323874,268901,54973
Ex,1984,291094,-109072,-112492,3420,291094,219926,71168,400166,332418,67748
Ex,1985,289070,-121880,-122173,294,289070,215915,73155,410950,338088,72862
Ex,1986,310033,-138538,-145081,6543,310033,223344,86689,448572,368425,80147
Ex,1987,348869,-151684,-159557,7874,348869,250208,98661,500552,409765,90787
Ex,1988,431149,-114566,-126959,12393,431149,320230,110919,545715,447189,98526
Ex,1989,487003,-93141,-117749,24607,487003,359916,127087,580144,477665,102479
Ex,1990,535233,-80864,-111037,30173,535233,387401,147832,616097,498438,117659
Ex,1991,578344,-31135,-76937,45802,578344,414083,164261,609479,491020,118459
Ex,1992,616882,-39212,-96897,57685,616882,439631,177251,656094,536528,119566
Ex,1993,642863,-70311,-132451,62141,642863,456943,185920,713174,589394,123780
Ex,1994,703254,-98493,-165831,67338,703254,502859,200395,801747,668690,133057
Ex,1995,794387,-96384,-174170,77786,794387,575204,219183,890771,749374,141397
Ex,1996,851602,-104065,-191000,86935,851602,612113,239489,955667,803113,152554
Ex,1997,934453,-108273,-198428,90155,934453,678366,256087,1042726,876794,165932
Ex,1998,933174,-166140,-248221,82081,933174,670416,262758,1099314,918637,180677
Ex,1999,969867,-258617,-337068,78450,969867,698524,271343,1228485,1035592,192893
Ex,2000,1075321,-372517,-446783,74266,1075321,784940,290381,1447837,1231722,216115
Ex,2001,1005654,-361511,-422370,60858,1005654,731331,274323,1367165,1153701,213465
Ex,2002,978706,-418955,-475245,56290,978706,698036,280670,1397660,1173281,224379
Ex,2003,1020418,-493890,-541643,47754,1020418,730446,289972,1514308,1272089,242219
Ex,2004,1161549,-609883,-664766,54882,1161549,823584,337966,1771433,1488349,283083
Ex,2005,1286022,-714245,-782804,68558,1286022,913016,373006,2000267,1695820,304448
Ex,2006,1457642,-761716,-837289,75573,1457642,1040905,416738,2219358,1878194,341165
Ex,2007,1653548,-705375,-821196,115821,1653548,1165151,488396,2358922,1986347,372575
Ex,2008,1841612,-708726,-832492,123765,1841612,1308795,532817,2550339,2141287,409052
Ex,2009,1583053,-383774,-509694,125920,1583053,1070331,512722,1966827,1580025,386801
Ex,2010,1853606,-494658,-648678,154020,1853606,1290273,563333,2348263,1938950,409313
Ex,2011,2127021,-548625,-740646,192020,2127021,1499240,627781,2675646,2239886,435761
Ex,2012,2218989,-536773,-741171,204398,2218989,1562578,656411,2755762,2303749,452013
Ex,2013,2293457,-461876,-702244,240368,2293457,1592002,701455,2755334,2294247,461087
Ex,2014,2376577,-490176,-752169,261993,2376577,1633320,743257,2866754,2385489,481264
Ex,2015,2261163,-500361,-762565,262203,2261163,1510303,750860,2761525,2272868,488657
Im,1960,-22432,3508,4892,-1384,25940,19650,6290,22432,14758,7674
Im,1961,-22208,4195,5571,-1376,26403,20108,6295,22208,14537,7671
Im,1962,-24352,3370,4521,-1151,27722,20781,6941,24352,16260,8092
Im,1963,-25410,4210,5224,-1014,29620,22272,7348,25410,17048,8362
Im,1964,-27319,6022,6801,-779,33341,25501,7840,27319,18700,8619
Im,1965,-30621,4664,4951,-287,35285,26461,8824,30621,21510,9111
Im,1966,-35987,2939,3817,-878,38926,29310,9616,35987,25493,10494
Im,1967,-38729,2604,3800,-1196,41333,30666,10667,38729,26866,11863
Im,1968,-45293,250,635,-385,45543,33626,11917,45293,32991,12302
Im,1969,-49129,91,607,-516,49220,36414,12806,49129,35807,13322
Im,1970,-54386,2254,2603,-349,56640,42469,14171,54386,39866,14520
Im,1971,-60979,-1302,-2260,958,59677,43319,16358,60979,45579,15400
Im,1972,-72665,-5443,-6416,973,67222,49381,17841,72665,55797,16868
Im,1973,-89342,1900,911,989,91242,71410,19832,89342,70499,18843
Im,1974,-125190,-4293,-5505,1212,120897,98306,22591,125190,103811,21379
Im,1975,-120181,12404,8903,3501,132585,107088,25497,120181,98185,21996
Im,1976,-148798,-6082,-9483,3401,142716,114745,27971,148798,124228,24570
Im,1977,-179547,-27246,-31091,3845,152301,120816,31485,179547,151907,27640
Im,1978,-208191,-29763,-33927,4164,178428,142075,36353,208191,176002,32189
Im,1979,-248696,-24565,-27568,3003,224131,184439,39692,248696,212007,36689
Im,1980,-291241,-19407,-25500,6093,271834,224250,47584,291241,249750,41491
Im,1981,-310570,-16172,-28023,11851,294398,237044,57354,310570,265067,45503
Im,1982,-299391,-24156,-36485,12329,275236,211157,64079,299391,247642,51749
Im,1983,-323874,-57767,-67102,9335,266106,201799,64307,323874,268901,54973
Im,1984,-400166,-109072,-112492,3420,291094,219926,71168,400166,332418,67748
Im,1985,-410950,-121880,-122173,294,289070,215915,73155,410950,338088,72862
Im,1986,-448572,-138538,-145081,6543,310033,223344,86689,448572,368425,80147
Im,1987,-500552,-151684,-159557,7874,348869,250208,98661,500552,409765,90787
Im,1988,-545715,-114566,-126959,12393,431149,320230,110919,545715,447189,98526
Im,1989,-580144,-93141,-117749,24607,487003,359916,127087,580144,477665,102479
Im,1990,-616097,-80864,-111037,30173,535233,387401,147832,616097,498438,117659
Im,1991,-609479,-31135,-76937,45802,578344,414083,164261,609479,491020,118459
Im,1992,-656094,-39212,-96897,57685,616882,439631,177251,656094,536528,119566
Im,1993,-713174,-70311,-132451,62141,642863,456943,185920,713174,589394,123780
Im,1994,-801747,-98493,-165831,67338,703254,502859,200395,801747,668690,133057
Im,1995,-890771,-96384,-174170,77786,794387,575204,219183,890771,749374,141397
Im,1996,-955667,-104065,-191000,86935,851602,612113,239489,955667,803113,152554
Im,1997,-1042726,-108273,-198428,90155,934453,678366,256087,1042726,876794,165932
Im,1998,-1099314,-166140,-248221,82081,933174,670416,262758,1099314,918637,180677
Im,1999,-1228485,-258617,-337068,78450,969867,698524,271343,1228485,1035592,192893
Im,2000,-1447837,-372517,-446783,74266,1075321,784940,290381,1447837,1231722,216115
Im,2001,-1367165,-361511,-422370,60858,1005654,731331,274323,1367165,1153701,213465
Im,2002,-1397660,-418955,-475245,56290,978706,698036,280670,1397660,1173281,224379
Im,2003,-1514308,-493890,-541643,47754,1020418,730446,289972,1514308,1272089,242219
Im,2004,-1771433,-609883,-664766,54882,1161549,823584,337966,1771433,1488349,283083
Im,2005,-2000267,-714245,-782804,68558,1286022,913016,373006,2000267,1695820,304448
Im,2006,-2219358,-761716,-837289,75573,1457642,1040905,416738,2219358,1878194,341165
Im,2007,-2358922,-705375,-821196,115821,1653548,1165151,488396,2358922,1986347,372575
Im,2008,-2550339,-708726,-832492,123765,1841612,1308795,532817,2550339,2141287,409052
Im,2009,-1966827,-383774,-509694,125920,1583053,1070331,512722,1966827,1580025,386801
Im,2010,-2348263,-494658,-648678,154020,1853606,1290273,563333,2348263,1938950,409313
Im,2011,-2675646,-548625,-740646,192020,2127021,1499240,627781,2675646,2239886,435761
Im,2012,-2755762,-536773,-741171,204398,2218989,1562578,656411,2755762,2303749,452013
Im,2013,-2755334,-461876,-702244,240368,2293457,1592002,701455,2755334,2294247,461087
Im,2014,-2866754,-490176,-752169,261993,2376577,1633320,743257,2866754,2385489,481264
Im,2015,-2761525,-500361,-762565,262203,2261163,1510303,750860,2761525,2272868,488657
ExGoods,1960,19650,3508,4892,-1384,25940,19650,6290,22432,14758,7674
ExGoods,1961,20108,4195,5571,-1376,26403,20108,6295,22208,14537,7671
ExGoods,1962,20781,3370,4521,-1151,27722,20781,6941,24352,16260,8092
ExGoods,1963,22272,4210,5224,-1014,29620,22272,7348,25410,17048,8362
ExGoods,1964,25501,6022,6801,-779,33341,25501,7840,27319,18700,8619
ExGoods,1965,26461,4664,4951,-287,35285,26461,8824,30621,21510,9111
ExGoods,1966,29310,2939,3817,-878,38926,29310,9616,35987,25493,10494
ExGoods,1967,30666,2604,3800,-1196,41333,30666,10667,38729,26866,11863
ExGoods,1968,33626,250,635,-385,45543,33626,11917,45293,32991,12302
ExGoods,1969,36414,91,607,-516,49220,36414,12806,49129,35807,13322
ExGoods,1970,42469,2254,2603,-349,56640,42469,14171,54386,39866,14520
ExGoods,1971,43319,-1302,-2260,958,59677,43319,16358,60979,45579,15400
ExGoods,1972,49381,-5443,-6416,973,67222,49381,17841,72665,55797,16868
ExGoods,1973,71410,1900,911,989,91242,71410,19832,89342,70499,18843
ExGoods,1974,98306,-4293,-5505,1212,120897,98306,22591,125190,103811,21379
ExGoods,1975,107088,12404,8903,3501,132585,107088,25497,120181,98185,21996
ExGoods,1976,114745,-6082,-9483,3401,142716,114745,27971,148798,124228,24570
ExGoods,1977,120816,-27246,-31091,3845,152301,120816,31485,179547,151907,27640
ExGoods,1978,142075,-29763,-33927,4164,178428,142075,36353,208191,176002,32189
ExGoods,1979,184439,-24565,-27568,3003,224131,184439,39692,248696,212007,36689
ExGoods,1980,224250,-19407,-25500,6093,271834,224250,47584,291241,249750,41491
